"GeneID","PathwayID","Symbol","ENSEMBL","Path","Genename"
"14377","path:mmu00010","G6pc","ENSMUSG00000078650","00010","glucose-6-phosphatase, catalytic"
"14378","path:mmu00010","G6pc2","ENSMUSG00000005232",NA,"glucose-6-phosphatase, catalytic, 2"
"14433","path:mmu00010","Gapdh","ENSMUSG00000057666","00010","glyceraldehyde-3-phosphate dehydrogenase"
"14447","path:mmu00010","Gapdhs","ENSMUSG00000061099","00010","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
"14751","path:mmu00010","Gpi1","ENSMUSG00000036427","00010","glucose-6-phosphate isomerase 1"
"15275","path:mmu00010","Hk1","ENSMUSG00000037012","00010","hexokinase 1"
"15277","path:mmu00010","Hk2","ENSMUSG00000000628","00010","hexokinase 2"
"16828","path:mmu00010","Ldha","ENSMUSG00000063229","00010","lactate dehydrogenase A"
"16832","path:mmu00010","Ldhb","ENSMUSG00000030246","00010","lactate dehydrogenase B"
"16833","path:mmu00010","Ldhc","ENSMUSG00000030851","00010","lactate dehydrogenase C"
"17330","path:mmu00010","Minpp1","ENSMUSG00000024896","00562","multiple inositol polyphosphate histidine phosphatase 1"
"18534","path:mmu00010","Pck1","ENSMUSG00000027513","00010","phosphoenolpyruvate carboxykinase 1, cytosolic"
"18597","path:mmu00010","Pdha1","ENSMUSG00000031299","00010","pyruvate dehydrogenase E1 alpha 1"
"18598","path:mmu00010","Pdha2","ENSMUSG00000047674","00010","pyruvate dehydrogenase E1 alpha 2"
"18641","path:mmu00010","Pfkl","ENSMUSG00000020277","00010","phosphofructokinase, liver, B-type"
"18642","path:mmu00010","Pfkm","ENSMUSG00000033065","00010","phosphofructokinase, muscle"
"18648","path:mmu00010","Pgam1","ENSMUSG00000011752","00010","phosphoglycerate mutase 1"
"18655","path:mmu00010","Pgk1","ENSMUSG00000062070","00010","phosphoglycerate kinase 1"
"18663","path:mmu00010","Pgk2","ENSMUSG00000031233","00010","phosphoglycerate kinase 2"
"18746","path:mmu00010","Pkm","ENSMUSG00000032294","00010","pyruvate kinase, muscle"
"18770","path:mmu00010","Pklr","ENSMUSG00000041237","00010","pyruvate kinase liver and red blood cell"
"212032","path:mmu00010","Hk3","ENSMUSG00000025877","00010","hexokinase 3"
"216019","path:mmu00010","Hkdc1","ENSMUSG00000020080",NA,"hexokinase domain containing 1"
"21991","path:mmu00010","Tpi1","ENSMUSG00000023456","00010","triosephosphate isomerase 1"
"226265","path:mmu00010","Eno4","ENSMUSG00000048029",NA,"enolase 4"
"230163","path:mmu00010","Aldob","ENSMUSG00000028307","00010","aldolase B, fructose-bisphosphate"
"235339","path:mmu00010","Dlat","ENSMUSG00000000168","00010","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"26876","path:mmu00010","Adh4","ENSMUSG00000037797","00010","alcohol dehydrogenase 4 (class II), pi polypeptide"
"319625","path:mmu00010","Galm","ENSMUSG00000035473","00010","galactose mutarotase"
"353204","path:mmu00010","Aldoart1","ENSMUSG00000059343",NA,"aldolase 1 A, retrogene 1"
"433182","path:mmu00010","Eno1b","ENSMUSG00000059040","00010","enolase 1B, retrotransposed"
"56012","path:mmu00010","Pgam2","ENSMUSG00000020475","00010","phosphoglycerate mutase 2"
"56421","path:mmu00010","Pfkp","ENSMUSG00000021196","00010","phosphofructokinase, platelet"
"56752","path:mmu00010","Aldh9a1","ENSMUSG00000026687","00010","aldehyde dehydrogenase 9, subfamily A1"
"58810","path:mmu00010","Akr1a1","ENSMUSG00000028692","00010","aldo-keto reductase family 1, member A1 (aldehyde reductase)"
"60525","path:mmu00010","Acss2","ENSMUSG00000027605","00010","acyl-CoA synthetase short-chain family member 2"
"621603","path:mmu00010","Aldh3b2","ENSMUSG00000075296",NA,"aldehyde dehydrogenase 3 family, member B2"
"66681","path:mmu00010","Pgm2","ENSMUSG00000029171","00010","phosphoglucomutase 2"
"67689","path:mmu00010","Aldh3b1","ENSMUSG00000024885","00010","aldehyde dehydrogenase 3 family, member B1"
"68263","path:mmu00010","Pdhb","ENSMUSG00000021748","00010","pyruvate dehydrogenase (lipoamide) beta"
"68401","path:mmu00010","G6pc3","ENSMUSG00000034793",NA,"glucose 6 phosphatase, catalytic, 3"
"68738","path:mmu00010","Acss1","ENSMUSG00000027452","00010","acyl-CoA synthetase short-chain family member 1"
"72141","path:mmu00010","Adpgk","ENSMUSG00000025236","00010","ADP-dependent glucokinase"
"72157","path:mmu00010","Pgm1","ENSMUSG00000025791","00010","phosphoglucomutase 1"
"72535","path:mmu00010","Aldh1b1","ENSMUSG00000035561","00010","aldehyde dehydrogenase 1 family, member B1"
"73458","path:mmu00010","Aldh3b3","ENSMUSG00000037263",NA,"aldehyde dehydrogenase 3 family, member B3"
"74551","path:mmu00010","Pck2","ENSMUSG00000040618","00010","phosphoenolpyruvate carboxykinase 2 (mitochondrial)"
"79459","path:mmu00010","Aldoart2","ENSMUSG00000063129",NA,"aldolase 1 A, retrogene 2"
"104112","path:mmu00020","Acly","ENSMUSG00000020917","00020","ATP citrate lyase"
"11428","path:mmu00020","Aco1","ENSMUSG00000028405","00020","aconitase 1"
"11429","path:mmu00020","Aco2","ENSMUSG00000022477","00020","aconitase 2, mitochondrial"
"12974","path:mmu00020","Cs","ENSMUSG00000005683","00020","citrate synthase"
"13382","path:mmu00020","Dld","ENSMUSG00000020664","00010","dihydrolipoamide dehydrogenase"
"14194","path:mmu00020","Fh1","ENSMUSG00000026526","00020","fumarate hydratase 1"
"15926","path:mmu00020","Idh1","ENSMUSG00000025950","00020","isocitrate dehydrogenase 1 (NADP+), soluble"
"15929","path:mmu00020","Idh3g","ENSMUSG00000002010","00020","isocitrate dehydrogenase 3 (NAD+), gamma"
"170718","path:mmu00020","Idh3b","ENSMUSG00000027406","00020","isocitrate dehydrogenase 3 (NAD+) beta"
"17448","path:mmu00020","Mdh2","ENSMUSG00000019179","00020","malate dehydrogenase 2, NAD (mitochondrial)"
"17449","path:mmu00020","Mdh1","ENSMUSG00000020321","00020","malate dehydrogenase 1, NAD (soluble)"
"18293","path:mmu00020","Ogdh","ENSMUSG00000020456","00020","oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)"
"18534","path:mmu00020","Pck1","ENSMUSG00000027513","00010","phosphoenolpyruvate carboxykinase 1, cytosolic"
"18563","path:mmu00020","Pcx","ENSMUSG00000024892","00020","pyruvate carboxylase"
"18597","path:mmu00020","Pdha1","ENSMUSG00000031299","00010","pyruvate dehydrogenase E1 alpha 1"
"18598","path:mmu00020","Pdha2","ENSMUSG00000047674","00010","pyruvate dehydrogenase E1 alpha 2"
"20916","path:mmu00020","Sucla2","ENSMUSG00000022110","00020","succinate-Coenzyme A ligase, ADP-forming, beta subunit"
"20917","path:mmu00020","Suclg2","ENSMUSG00000061838","00020","succinate-Coenzyme A ligase, GDP-forming, beta subunit"
"235339","path:mmu00020","Dlat","ENSMUSG00000000168","00010","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"239017","path:mmu00020","Ogdhl","ENSMUSG00000021913","00020","oxoglutarate dehydrogenase-like"
"243996","path:mmu00020","4933405O20Rik","ENSMUSG00000084234",NA,"RIKEN cDNA 4933405O20 gene"
"269951","path:mmu00020","Idh2","ENSMUSG00000030541","00020","isocitrate dehydrogenase 2 (NADP+), mitochondrial"
"56451","path:mmu00020","Suclg1","ENSMUSG00000052738","00020","succinate-CoA ligase, GDP-forming, alpha subunit"
"66052","path:mmu00020","Sdhc","ENSMUSG00000058076","00020","succinate dehydrogenase complex, subunit C, integral membrane protein"
"66925","path:mmu00020","Sdhd","ENSMUSG00000000171","00020","succinate dehydrogenase complex, subunit D, integral membrane protein"
"66945","path:mmu00020","Sdha","ENSMUSG00000021577","00020","succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
"67680","path:mmu00020","Sdhb","ENSMUSG00000009863","00020","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"67834","path:mmu00020","Idh3a","ENSMUSG00000032279","00020","isocitrate dehydrogenase 3 (NAD+) alpha"
"68263","path:mmu00020","Pdhb","ENSMUSG00000021748","00010","pyruvate dehydrogenase (lipoamide) beta"
"71832","path:mmu00020","Csl","ENSMUSG00000046934","00020","citrate synthase like"
"74551","path:mmu00020","Pck2","ENSMUSG00000040618","00010","phosphoenolpyruvate carboxykinase 2 (mitochondrial)"
"78920","path:mmu00020","Dlst","ENSMUSG00000004789","00020","dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)"
"100198","path:mmu00030","H6pd","ENSMUSG00000028980","00030","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)"
"110208","path:mmu00030","Pgd","ENSMUSG00000028961","00030","phosphogluconate dehydrogenase"
"110639","path:mmu00030","Prps2","ENSMUSG00000025742","00030","phosphoribosyl pyrophosphate synthetase 2"
"11674","path:mmu00030","Aldoa","ENSMUSG00000030695","00010","aldolase A, fructose-bisphosphate"
"11676","path:mmu00030","Aldoc","ENSMUSG00000017390","00010","aldolase C, fructose-bisphosphate"
"14120","path:mmu00030","Fbp2","ENSMUSG00000021456","00010","fructose bisphosphatase 2"
"14121","path:mmu00030","Fbp1","ENSMUSG00000069805","00010","fructose bisphosphatase 1"
"14380","path:mmu00030","G6pd2","ENSMUSG00000089992","00030","glucose-6-phosphate dehydrogenase 2"
"14381","path:mmu00030","G6pdx","ENSMUSG00000031400","00030","glucose-6-phosphate dehydrogenase X-linked"
"14751","path:mmu00030","Gpi1","ENSMUSG00000036427","00010","glucose-6-phosphate isomerase 1"
"18641","path:mmu00030","Pfkl","ENSMUSG00000020277","00010","phosphofructokinase, liver, B-type"
"18642","path:mmu00030","Pfkm","ENSMUSG00000033065","00010","phosphofructokinase, muscle"
"19139","path:mmu00030","Prps1","ENSMUSG00000031432","00030","phosphoribosyl pyrophosphate synthetase 1"
"19733","path:mmu00030","Rgn","ENSMUSG00000023070",NA,"regucalcin"
"19895","path:mmu00030","Rpia","ENSMUSG00000053604","00030","ribose 5-phosphate isomerase A"
"21351","path:mmu00030","Taldo1","ENSMUSG00000025503","00030","transaldolase 1"
"21881","path:mmu00030","Tkt","ENSMUSG00000021957","00030","transketolase"
"230163","path:mmu00030","Aldob","ENSMUSG00000028307","00010","aldolase B, fructose-bisphosphate"
"232449","path:mmu00030","Dera","ENSMUSG00000030225","00030","deoxyribose-phosphate aldolase (putative)"
"235582","path:mmu00030","Glyctk","ENSMUSG00000020258","00260","glycerate kinase"
"328099","path:mmu00030","Prps1l3","ENSMUSG00000079104","00030","phosphoribosyl pyrophosphate synthetase 1-like 3"
"353204","path:mmu00030","Aldoart1","ENSMUSG00000059343",NA,"aldolase 1 A, retrogene 1"
"56421","path:mmu00030","Pfkp","ENSMUSG00000021196","00010","phosphofructokinase, platelet"
"66171","path:mmu00030","Pgls","ENSMUSG00000031807","00030","6-phosphogluconolactonase"
"66646","path:mmu00030","Rpe","ENSMUSG00000026005","00030","ribulose-5-phosphate-3-epimerase"
"66681","path:mmu00030","Pgm2","ENSMUSG00000029171","00010","phosphoglucomutase 2"
"71336","path:mmu00030","Rbks","ENSMUSG00000029136","00030","ribokinase"
"72157","path:mmu00030","Pgm1","ENSMUSG00000025791","00010","phosphoglucomutase 1"
"74419","path:mmu00030","Tktl2","ENSMUSG00000025519","00030","transketolase-like 2"
"75456","path:mmu00030","Prps1l1","ENSMUSG00000092305","00030","phosphoribosyl pyrophosphate synthetase 1-like 1"
"75731","path:mmu00030","Idnk","ENSMUSG00000050002",NA,"idnK gluconokinase homolog (E. coli)"
"79459","path:mmu00030","Aldoart2","ENSMUSG00000063129",NA,"aldolase 1 A, retrogene 2"
"83553","path:mmu00030","Tktl1","ENSMUSG00000031397","00030","transketolase-like 1"
"100559","path:mmu00040","Ugt2b38","ENSMUSG00000061906","00040","UDP glucuronosyltransferase 2 family, polypeptide B38"
"100727","path:mmu00040","Ugt2b34","ENSMUSG00000029260","00040","UDP glucuronosyltransferase 2 family, polypeptide B34"
"102448","path:mmu00040","Xylb","ENSMUSG00000035769","00040","xylulokinase homolog (H. influenzae)"
"110006","path:mmu00040","Gusb","ENSMUSG00000025534","00040","glucuronidase, beta"
"112417","path:mmu00040","Ugt2b37","ENSMUSG00000057425",NA,"UDP glucuronosyltransferase 2 family, polypeptide B37"
"11677","path:mmu00040","Akr1b3","ENSMUSG00000001642","00040","aldo-keto reductase family 1, member B3 (aldose reductase)"
"11997","path:mmu00040","Akr1b7","ENSMUSG00000052131","00040","aldo-keto reductase family 1, member B7"
"14187","path:mmu00040","Akr1b8","ENSMUSG00000029762","00040","aldo-keto reductase family 1, member B8"
"16591","path:mmu00040","Kl","ENSMUSG00000058488",NA,"klotho"
"20322","path:mmu00040","Sord","ENSMUSG00000027227","00051","sorbitol dehydrogenase"
"216558","path:mmu00040","Ugp2","ENSMUSG00000001891","00040","UDP-glucose pyrophosphorylase 2"
"22235","path:mmu00040","Ugdh","ENSMUSG00000029201","00040","UDP-glucose dehydrogenase"
"22236","path:mmu00040","Ugt1a2","ENSMUSG00000090171","00040","UDP glucuronosyltransferase 1 family, polypeptide A2"
"22238","path:mmu00040","Ugt2b5","ENSMUSG00000054630","00040","UDP glucuronosyltransferase 2 family, polypeptide B5"
"231396","path:mmu00040","Ugt2b36","ENSMUSG00000070704","00040","UDP glucuronosyltransferase 2 family, polypeptide B36"
"243085","path:mmu00040","Ugt2b35","ENSMUSG00000035811",NA,"UDP glucuronosyltransferase 2 family, polypeptide B35"
"394430","path:mmu00040","Ugt1a10","ENSMUSG00000090165","00040","UDP glycosyltransferase 1 family, polypeptide A10"
"394432","path:mmu00040","Ugt1a7c","ENSMUSG00000090124","00040","UDP glucuronosyltransferase 1 family, polypeptide A7C"
"394433","path:mmu00040","Ugt1a5","ENSMUSG00000089943","00040","UDP glucuronosyltransferase 1 family, polypeptide A5"
"394434","path:mmu00040","Ugt1a9","ENSMUSG00000090175","00040","UDP glucuronosyltransferase 1 family, polypeptide A9"
"394435","path:mmu00040","Ugt1a6b","ENSMUSG00000090145","00040","UDP glucuronosyltransferase 1 family, polypeptide A6B"
"394436","path:mmu00040","Ugt1a1","ENSMUSG00000089960","00040","UDP glucuronosyltransferase 1 family, polypeptide A1"
"552899","path:mmu00040","Ugt2a2","ENSMUSG00000029268","00040","UDP glucuronosyltransferase 2 family, polypeptide A2"
"58810","path:mmu00040","Akr1a1","ENSMUSG00000028692","00010","aldo-keto reductase family 1, member A1 (aldehyde reductase)"
"613123","path:mmu00040","Ugt1a8","ENSMUSG00000089675",NA,"UDP glucuronosyltransferase 1 family, polypeptide A8"
"66646","path:mmu00040","Rpe","ENSMUSG00000026005","00030","ribulose-5-phosphate-3-epimerase"
"67861","path:mmu00040","Akr1b10","ENSMUSG00000061758",NA,"aldo-keto reductase family 1, member B10 (aldose reductase)"
"67880","path:mmu00040","Dcxr","ENSMUSG00000039450","00040","dicarbonyl L-xylulose reductase"
"68631","path:mmu00040","Cryl1","ENSMUSG00000021947","00040","crystallin, lambda 1"
"71755","path:mmu00040","Dhdh","ENSMUSG00000011382","00040","dihydrodiol dehydrogenase (dimeric)"
"71773","path:mmu00040","Ugt2b1","ENSMUSG00000035836","00040","UDP glucuronosyltransferase 2 family, polypeptide B1"
"72094","path:mmu00040","Ugt2a3","ENSMUSG00000035780","00040","UDP glucuronosyltransferase 2 family, polypeptide A3"
"75578","path:mmu00040","Fggy","ENSMUSG00000028573",NA,"FGGY carbohydrate kinase domain containing"
"75847","path:mmu00040","Crppa","ENSMUSG00000043153",NA,"CDP-L-ribitol pyrophosphorylase A"
"94215","path:mmu00040","Ugt2a1","ENSMUSG00000106677","00040","UDP glucuronosyltransferase 2 family, polypeptide A1"
"94284","path:mmu00040","Ugt1a6a","ENSMUSG00000054545","00040","UDP glucuronosyltransferase 1 family, polypeptide A6A"
"110119","path:mmu00051","Mpi","ENSMUSG00000032306","00051","mannose phosphate isomerase"
"11674","path:mmu00051","Aldoa","ENSMUSG00000030695","00010","aldolase A, fructose-bisphosphate"
"11676","path:mmu00051","Aldoc","ENSMUSG00000017390","00010","aldolase C, fructose-bisphosphate"
"11677","path:mmu00051","Akr1b3","ENSMUSG00000001642","00040","aldo-keto reductase family 1, member B3 (aldose reductase)"
"11997","path:mmu00051","Akr1b7","ENSMUSG00000052131","00040","aldo-keto reductase family 1, member B7"
"14120","path:mmu00051","Fbp2","ENSMUSG00000021456","00010","fructose bisphosphatase 2"
"14121","path:mmu00051","Fbp1","ENSMUSG00000069805","00010","fructose bisphosphatase 1"
"14187","path:mmu00051","Akr1b8","ENSMUSG00000029762","00040","aldo-keto reductase family 1, member B8"
"15275","path:mmu00051","Hk1","ENSMUSG00000037012","00010","hexokinase 1"
"15277","path:mmu00051","Hk2","ENSMUSG00000000628","00010","hexokinase 2"
"16548","path:mmu00051","Khk","ENSMUSG00000029162","00051","ketohexokinase"
"170768","path:mmu00051","Pfkfb3","ENSMUSG00000026773","00051","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"18639","path:mmu00051","Pfkfb1","ENSMUSG00000025271","00051","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
"18640","path:mmu00051","Pfkfb2","ENSMUSG00000026409","00051","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"18641","path:mmu00051","Pfkl","ENSMUSG00000020277","00010","phosphofructokinase, liver, B-type"
"18642","path:mmu00051","Pfkm","ENSMUSG00000033065","00010","phosphofructokinase, muscle"
"20322","path:mmu00051","Sord","ENSMUSG00000027227","00051","sorbitol dehydrogenase"
"212032","path:mmu00051","Hk3","ENSMUSG00000025877","00010","hexokinase 3"
"216019","path:mmu00051","Hkdc1","ENSMUSG00000020080",NA,"hexokinase domain containing 1"
"218138","path:mmu00051","Gmds","ENSMUSG00000038372","00051","GDP-mannose 4, 6-dehydratase"
"21991","path:mmu00051","Tpi1","ENSMUSG00000023456","00010","triosephosphate isomerase 1"
"22122","path:mmu00051","Gfus","ENSMUSG00000022570","00051","GDP-L-fucose synthase"
"225913","path:mmu00051","Tkfc","ENSMUSG00000034371","00561","triokinase, FMN cyclase"
"230163","path:mmu00051","Aldob","ENSMUSG00000028307","00010","aldolase B, fructose-bisphosphate"
"234730","path:mmu00051","Fcsk","ENSMUSG00000033703","00051","fucose kinase"
"270198","path:mmu00051","Pfkfb4","ENSMUSG00000025648","00051","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
"29858","path:mmu00051","Pmm1","ENSMUSG00000022474","00051","phosphomannomutase 1"
"319801","path:mmu00051","Tigar","ENSMUSG00000038028","00051","Trp53 induced glycolysis regulatory phosphatase"
"331026","path:mmu00051","Gmppb","ENSMUSG00000070284","00051","GDP-mannose pyrophosphorylase B"
"353204","path:mmu00051","Aldoart1","ENSMUSG00000059343",NA,"aldolase 1 A, retrogene 1"
"54128","path:mmu00051","Pmm2","ENSMUSG00000022711","00051","phosphomannomutase 2"
"56421","path:mmu00051","Pfkp","ENSMUSG00000021196","00010","phosphofructokinase, platelet"
"67861","path:mmu00051","Akr1b10","ENSMUSG00000061758",NA,"aldo-keto reductase family 1, member B10 (aldose reductase)"
"69080","path:mmu00051","Gmppa","ENSMUSG00000033021","00051","GDP-mannose pyrophosphorylase A"
"75540","path:mmu00051","Fpgt","ENSMUSG00000053870","00051","fucose-1-phosphate guanylyltransferase"
"79459","path:mmu00051","Aldoart2","ENSMUSG00000063129",NA,"aldolase 1 A, retrogene 2"
"103988","path:mmu00052","Gck","ENSMUSG00000041798","00010","glucokinase"
"11605","path:mmu00052","Gla","ENSMUSG00000031266","00052","galactosidase, alpha"
"11677","path:mmu00052","Akr1b3","ENSMUSG00000001642","00040","aldo-keto reductase family 1, member B3 (aldose reductase)"
"11997","path:mmu00052","Akr1b7","ENSMUSG00000052131","00040","aldo-keto reductase family 1, member B7"
"12091","path:mmu00052","Glb1","ENSMUSG00000045594","00052","galactosidase, beta 1"
"14187","path:mmu00052","Akr1b8","ENSMUSG00000029762","00040","aldo-keto reductase family 1, member B8"
"14377","path:mmu00052","G6pc","ENSMUSG00000078650","00010","glucose-6-phosphatase, catalytic"
"14378","path:mmu00052","G6pc2","ENSMUSG00000005232",NA,"glucose-6-phosphatase, catalytic, 2"
"14387","path:mmu00052","Gaa","ENSMUSG00000025579","00052","glucosidase, alpha, acid"
"14430","path:mmu00052","Galt","ENSMUSG00000036073","00052","galactose-1-phosphate uridyl transferase"
"14595","path:mmu00052","B4galt1","ENSMUSG00000028413","00052","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
"14635","path:mmu00052","Galk1","ENSMUSG00000020766","00052","galactokinase 1"
"15275","path:mmu00052","Hk1","ENSMUSG00000037012","00010","hexokinase 1"
"15277","path:mmu00052","Hk2","ENSMUSG00000000628","00010","hexokinase 2"
"16770","path:mmu00052","Lalba","ENSMUSG00000022991","00052","lactalbumin, alpha"
"18641","path:mmu00052","Pfkl","ENSMUSG00000020277","00010","phosphofructokinase, liver, B-type"
"18642","path:mmu00052","Pfkm","ENSMUSG00000033065","00010","phosphofructokinase, muscle"
"212032","path:mmu00052","Hk3","ENSMUSG00000025877","00010","hexokinase 3"
"216019","path:mmu00052","Hkdc1","ENSMUSG00000020080",NA,"hexokinase domain containing 1"
"216558","path:mmu00052","Ugp2","ENSMUSG00000001891","00040","UDP-glucose pyrophosphorylase 2"
"226413","path:mmu00052","Lct","ENSMUSG00000026354","00052","lactase"
"232714","path:mmu00052","Mgam","ENSMUSG00000068587","00052","maltase-glucoamylase"
"319625","path:mmu00052","Galm","ENSMUSG00000035473","00010","galactose mutarotase"
"53418","path:mmu00052","B4galt2","ENSMUSG00000028541","00052","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2"
"56421","path:mmu00052","Pfkp","ENSMUSG00000021196","00010","phosphofructokinase, platelet"
"66681","path:mmu00052","Pgm2","ENSMUSG00000029171","00010","phosphoglucomutase 2"
"67861","path:mmu00052","Akr1b10","ENSMUSG00000061758",NA,"aldo-keto reductase family 1, member B10 (aldose reductase)"
"68401","path:mmu00052","G6pc3","ENSMUSG00000034793",NA,"glucose 6 phosphatase, catalytic, 3"
"69983","path:mmu00052","Sis","ENSMUSG00000027790","00500","sucrase isomaltase (alpha-glucosidase)"
"72157","path:mmu00052","Pgm1","ENSMUSG00000025791","00010","phosphoglucomutase 1"
"74246","path:mmu00052","Gale","ENSMUSG00000028671","00052","galactose-4-epimerase, UDP"
"76051","path:mmu00052","Ganc","ENSMUSG00000062646","00052","glucosidase, alpha; neutral C"
"100559","path:mmu00053","Ugt2b38","ENSMUSG00000061906","00040","UDP glucuronosyltransferase 2 family, polypeptide B38"
"100727","path:mmu00053","Ugt2b34","ENSMUSG00000029260","00040","UDP glucuronosyltransferase 2 family, polypeptide B34"
"110006","path:mmu00053","Gusb","ENSMUSG00000025534","00040","glucuronidase, beta"
"110695","path:mmu00053","Aldh7a1","ENSMUSG00000053644","00010","aldehyde dehydrogenase family 7, member A1"
"112417","path:mmu00053","Ugt2b37","ENSMUSG00000057425",NA,"UDP glucuronosyltransferase 2 family, polypeptide B37"
"11669","path:mmu00053","Aldh2","ENSMUSG00000029455","00010","aldehyde dehydrogenase 2, mitochondrial"
"11671","path:mmu00053","Aldh3a2","ENSMUSG00000010025","00010","aldehyde dehydrogenase family 3, subfamily A2"
"16591","path:mmu00053","Kl","ENSMUSG00000058488",NA,"klotho"
"19733","path:mmu00053","Rgn","ENSMUSG00000023070",NA,"regucalcin"
"22235","path:mmu00053","Ugdh","ENSMUSG00000029201","00040","UDP-glucose dehydrogenase"
"22236","path:mmu00053","Ugt1a2","ENSMUSG00000090171","00040","UDP glucuronosyltransferase 1 family, polypeptide A2"
"22238","path:mmu00053","Ugt2b5","ENSMUSG00000054630","00040","UDP glucuronosyltransferase 2 family, polypeptide B5"
"231396","path:mmu00053","Ugt2b36","ENSMUSG00000070704","00040","UDP glucuronosyltransferase 2 family, polypeptide B36"
"243085","path:mmu00053","Ugt2b35","ENSMUSG00000035811",NA,"UDP glucuronosyltransferase 2 family, polypeptide B35"
"268756","path:mmu00053","Gulo","ENSMUSG00000034450","00053","gulonolactone (L-) oxidase"
"394430","path:mmu00053","Ugt1a10","ENSMUSG00000090165","00040","UDP glycosyltransferase 1 family, polypeptide A10"
"394432","path:mmu00053","Ugt1a7c","ENSMUSG00000090124","00040","UDP glucuronosyltransferase 1 family, polypeptide A7C"
"394433","path:mmu00053","Ugt1a5","ENSMUSG00000089943","00040","UDP glucuronosyltransferase 1 family, polypeptide A5"
"394434","path:mmu00053","Ugt1a9","ENSMUSG00000090175","00040","UDP glucuronosyltransferase 1 family, polypeptide A9"
"394435","path:mmu00053","Ugt1a6b","ENSMUSG00000090145","00040","UDP glucuronosyltransferase 1 family, polypeptide A6B"
"394436","path:mmu00053","Ugt1a1","ENSMUSG00000089960","00040","UDP glucuronosyltransferase 1 family, polypeptide A1"
"552899","path:mmu00053","Ugt2a2","ENSMUSG00000029268","00040","UDP glucuronosyltransferase 2 family, polypeptide A2"
"56727","path:mmu00053","Miox","ENSMUSG00000022613","00053","myo-inositol oxygenase"
"56752","path:mmu00053","Aldh9a1","ENSMUSG00000026687","00010","aldehyde dehydrogenase 9, subfamily A1"
"58810","path:mmu00053","Akr1a1","ENSMUSG00000028692","00010","aldo-keto reductase family 1, member A1 (aldehyde reductase)"
"613123","path:mmu00053","Ugt1a8","ENSMUSG00000089675",NA,"UDP glucuronosyltransferase 1 family, polypeptide A8"
"71773","path:mmu00053","Ugt2b1","ENSMUSG00000035836","00040","UDP glucuronosyltransferase 2 family, polypeptide B1"
